Title,Duration,Score,Year
The Shawshank Redemption,2h 22m,9.3,1994
The Godfather,2h 55m,9.2,1972
The Dark Knight,2h 32m,9.0,2008
The Godfather Part II,3h 22m,9.0,1974
12 Angry Men,1h 36m,9.0,1957
Schindler's List,3h 15m,9.0,1993
The Lord of the Rings: The Return of the King,3h 21m,9.0,2003
Pulp Fiction,2h 34m,8.9,1994
The Lord of the Rings: The Fellowship of the Ring,2h 58m,8.9,2001
"The Good, the Bad and the Ugly",2h 58m,8.8,1966
Forrest Gump,2h 22m,8.8,1994
The Lord of the Rings: The Two Towers,2h 59m,8.8,2002
Fight Club,2h 19m,8.8,1999
Inception,2h 28m,8.8,2010
Star Wars: Episode V - The Empire Strikes Back,2h 4m,8.7,1980
The Matrix,2h 16m,8.7,1999
Goodfellas,2h 25m,8.7,1990
One Flew Over the Cuckoo's Nest,2h 13m,8.7,1975
Se7en,2h 7m,8.6,1995
Interstellar,2h 49m,8.7,2014
It's a Wonderful Life,2h 10m,8.6,1946
Seven Samurai,3h 27m,8.6,1954
The Silence of the Lambs,1h 58m,8.6,1991
Saving Private Ryan,2h 49m,8.6,1998
City of God,2h 10m,8.6,2002
Life Is Beautiful,1h 56m,8.6,1997
The Green Mile,3h 9m,8.6,1999
Terminator 2: Judgment Day,2h 17m,8.6,1991
Star Wars: Episode IV - A New Hope,2h 1m,8.6,1977
Back to the Future,1h 56m,8.5,1985
Spirited Away,2h 5m,8.6,2001
The Pianist,2h 30m,8.5,2002
Parasite,2h 12m,8.5,2019
Psycho,1h 49m,8.5,1960
Dune: Part Two,2h 46m,8.6,2024
Gladiator,2h 35m,8.5,2000
The Lion King,1h 28m,8.5,1994
Spider-Man: Across the Spider-Verse,2h 20m,8.6,2023
The Departed,2h 31m,8.5,2006
Léon: The Professional,1h 50m,8.5,1994
American History X,1h 59m,8.5,1998
Whiplash,1h 46m,8.5,2014
The Prestige,2h 10m,8.5,2006
Grave of the Fireflies,1h 29m,8.5,1988
Harakiri,2h 13m,8.6,1962
The Usual Suspects,1h 46m,8.5,1995
Casablanca,1h 42m,8.5,1942
The Intouchables,1h 52m,8.5,2011
Cinema Paradiso,2h 54m,8.5,1988
Modern Times,1h 27m,8.5,1936
Rear Window,1h 52m,8.5,1954
Once Upon a Time in the West,2h 46m,8.5,1968
Alien,1h 57m,8.5,1979
City Lights,1h 27m,8.5,1931
Django Unchained,2h 45m,8.5,2012
Apocalypse Now,2h 27m,8.4,1979
Memento,1h 53m,8.4,2000
WALL·E,1h 38m,8.4,2008
Raiders of the Lost Ark,1h 55m,8.4,1981
12th Fail,2h 27m,8.9,2023
The Lives of Others,2h 17m,8.4,2006
Sunset Boulevard,1h 50m,8.4,1950
Avengers: Infinity War,2h 29m,8.4,2018
Paths of Glory,1h 28m,8.4,1957
Spider-Man: Into the Spider-Verse,1h 57m,8.4,2018
Witness for the Prosecution,1h 56m,8.4,1957
The Shining,2h 26m,8.4,1980
The Great Dictator,2h 5m,8.4,1940
Aliens,2h 17m,8.4,1986
Inglourious Basterds,2h 33m,8.4,2009
The Dark Knight Rises,2h 44m,8.4,2012
Coco,1h 45m,8.4,2017
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35m,8.3,1964
Amadeus,2h 40m,8.4,1984
Oldboy,,8.3,2003
American Beauty,2h 2m,8.3,1999
Toy Story,1h 21m,8.3,1995
Avengers: Endgame,3h 1m,8.4,2019
Das Boot,2h 29m,8.4,1981
Braveheart,2h 58m,8.3,1995
Good Will Hunting,2h 6m,8.3,1997
Princess Mononoke,2h 14m,8.3,1997
Joker,2h 2m,8.4,2019
Your Name.,1h 46m,8.4,2016
High and Low,2h 23m,8.4,1963
3 Idiots,2h 50m,8.4,2009
Once Upon a Time in America,3h 49m,8.3,1984
Singin' in the Rain,1h 43m,8.3,1952
Capernaum,2h 6m,8.4,2018
Come and See,2h 22m,8.4,1985
Requiem for a Dream,1h 42m,8.3,2000
Toy Story ,01h 43m,8.3,3201
Star Wars: Episode VI - Return of the Jedi,2h 11m,8.3,1983
Eternal Sunshine of the Spotless Mind,1h 48m,8.3,2004
The Hunt,1h 55m,8.3,2012
2001: A Space Odyssey,2h 29m,8.3,2001
Reservoir Dogs,1h 39m,8.3,1992
Ikiru,2h 23m,8.3,1952
Lawrence of Arabia,3h 38m,8.3,1962
Oppenheimer,,8.3,2023
The Apartment,2h 5m,8.3,1960
Incendies,2h 11m,8.3,2010
North by Northwest,2h 16m,8.3,1959
Citizen Kane,1h 59m,8.3,1941
Scarface,2h 50m,8.3,1983
M,1h 39m,8.3,1931
Double Indemnity,1h 47m,8.3,1944
Vertigo,2h 8m,8.3,1958
Full Metal Jacket,1h 56m,8.3,1987
Amélie,2h 2m,8.3,2001
Heat,2h 50m,8.3,1995
Up,1h 36m,8.3,2009
A Clockwork Orange,2h 16m,8.3,1971
To Kill a Mockingbird,2h 9m,8.3,1962
A Separation,2h 3m,8.3,2011
The Sting,2h 9m,8.3,1973
Indiana Jones and the Last Crusade,2h 7m,8.2,1989
Die Hard,2h 12m,8.2,1988
Like Stars on Earth,2h 42m,8.3,2007
Metropolis,2h 33m,8.3,1927
Snatch,1h 42m,8.2,2000
1,20191h 59m,8.2,1917
L.A. Confidential,2h 18m,8.2,1997
Bicycle Thieves,1h 29m,8.3,1948
Hamilton,2h 40m,8.3,2020
Taxi Driver,1h 54m,8.2,1976
Downfall,2h 36m,8.2,2004
Dangal,2h 41m,8.3,2016
For a Few Dollars More,2h 12m,8.2,1965
Batman Begins,2h 20m,8.2,2005
The Wolf of Wall Street,,8.2,2013
Some Like It Hot,2h 1m,8.2,1959
Green Book,2h 10m,8.2,2018
The Kid,1h 8m,8.2,1921
The Father,1h 37m,8.2,2020
Judgment at Nuremberg,2h 59m,8.3,1961
The Truman Show,1h 43m,8.2,1998
All About Eve,2h 18m,8.2,1950
Shutter Island,2h 18m,8.2,2010
Top Gun: Maverick,2h 10m,8.2,2022
There Will Be Blood,2h 38m,8.2,2007
Casino,2h 58m,8.2,1995
Jurassic Park,2h 7m,8.2,1993
Ran,2h 40m,8.2,1985
The Sixth Sense,1h 47m,8.2,1999
Pan's Labyrinth,1h 58m,8.2,2006
Unforgiven,2h 10m,8.2,1992
No Country for Old Men,2h 2m,8.2,2007
A Beautiful Mind,2h 15m,8.2,2001
The Thing,1h 49m,8.2,1982
Kill Bill: Vol. ,31h 51m,8.2,1200
The Treasure of the Sierra Madre,2h 6m,8.2,1948
Yojimbo,1h 50m,8.2,1961
Monty Python and the Holy Grail,1h 31m,8.2,1975
The Great Escape,2h 52m,8.2,1963
Finding Nemo,1h 40m,8.2,2003
Prisoners,2h 33m,8.2,2013
Howl's Moving Castle,1h 59m,8.2,2004
Rashomon,1h 28m,8.2,1950
The Elephant Man,2h 4m,8.2,1980
Dial M for Murder,1h 45m,8.2,1954
Chinatown,2h 10m,8.1,1974
Gone with the Wind,3h 58m,8.2,1939
"Lock, Stock and Two Smoking Barrels",1h 47m,8.1,1998
V for Vendetta,2h 12m,8.2,2005
The Secret in Their Eyes,2h 9m,8.2,2009
Inside Out,1h 35m,8.1,2015
Raging Bull,2h 9m,8.1,1980
"Three Billboards Outside Ebbing, Missouri",1h 55m,8.1,2017
Trainspotting,1h 33m,8.1,1996
The Bridge on the River Kwai,2h 41m,8.1,1957
Klaus,1h 36m,8.2,2019
Fargo,1h 38m,8.1,1996
Catch Me If You Can,2h 21m,8.1,2002
Spider-Man: No Way Home,2h 28m,8.2,2021
Warrior,2h 20m,8.1,2011
Gran Torino,1h 56m,8.1,2008
Harry Potter and the Deathly Hallows: Part ,12h 10m,8.1,2201
Million Dollar Baby,2h 12m,8.1,2004
My Neighbor Totoro,1h 26m,8.1,1988
Children of Heaven,1h 29m,8.2,1997
12 Years a Slave,2h 14m,8.1,2013
Ben-Hur,3h 32m,8.1,1959
Blade Runner,1h 57m,8.1,1982
Before Sunrise,1h 41m,8.1,1995
Barry Lyndon,3h 5m,8.1,1975
Mad Max: Fury Road,,8.1,2015
The Grand Budapest Hotel,1h 39m,8.1,2014
Gone Girl,2h 29m,8.1,2014
Hacksaw Ridge,2h 19m,8.1,2016
Dead Poets Society,2h 8m,8.1,1989
The Gold Rush,1h 35m,8.1,1925
Memories of Murder,2h 12m,8.1,2003
In the Name of the Father,2h 13m,8.1,1993
"Monsters, Inc.",1h 32m,8.1,2001
Wild Tales,2h 2m,8.1,2014
The Deer Hunter,3h 3m,8.1,1978
The General,1h 18m,8.1,1926
Sherlock Jr.,,8.2,1924
On the Waterfront,1h 48m,8.1,1954
Jaws,2h 4m,8.1,1975
How to Train Your Dragon,1h 38m,8.1,2010
Mary and Max,1h 32m,8.1,2009
Ratatouille,1h 51m,8.1,2007
The Third Man,1h 33m,8.1,1949
The Wages of Fear,2h 11m,8.1,1953
Wild Strawberries,1h 31m,8.1,1957
Mr. Smith Goes to Washington,2h 9m,8.1,1939
Ford v Ferrari,2h 32m,8.1,2019
Tokyo Story,2h 16m,8.1,1953
The Big Lebowski,1h 57m,8.1,1998
Rocky,,8.1,1976
The Seventh Seal,1h 36m,8.1,1957
Room,1h 58m,8.1,2015
Logan,2h 17m,8.1,2017
Spotlight,2h 9m,8.1,2015
Hotel Rwanda,2h 1m,8.1,2004
The Terminator,1h 47m,8.1,1984
Platoon,,8.1,1986
La haine,1h 38m,8.1,1995
The Passion of Joan of Arc,1h 54m,8.1,1928
Before Sunset,1h 20m,8.1,2004
Pirates of the Caribbean: The Curse of the Black Pearl,2h 23m,8.1,2003
The Best Years of Our Lives,2h 50m,8.1,1946
Jai Bhim,2h 44m,8.7,2021
The Exorcist,2h 2m,8.1,1973
Rush,2h 3m,8.1,2013
Network,2h 1m,8.1,1976
The Wizard of Oz,1h 42m,8.1,1939
Stand by Me,1h 29m,8.1,1986
The Incredibles,1h 55m,8.0,2004
Hachi: A Dog's Tale,1h 33m,8.1,2009
